task_id,dimension,phase,type,priority,effort,order,depends_on,decision_gate,same_as,owner,files,action,verify,status,md_anchor
"ERR-33","03-loi-phuc-hoi","GD1","cai-thien","P1","M","110","","","","ai","13 file *_repository_provider.dart + 13 file fail_closed_*.dart + 13 file *_errors.dart (tat ca moi)","DA XONG 2026-07-16 - DRIFT: launchpad DA duoc guard tu truoc (Đợt 4 phien khac, memory), nen thuc te chi con 8 feature can lam (markets, home, rewards, referral, news, discovery, onboarding, support) + 4 cross_module sub-domain (analytics, smart_alerts, tax_report, unified_portfolio) = 12, khong phai 9+4=13 nhu bao cao goc. Moi feature: 1 file *_errors.dart (BackendContractMissingException, khuon arena) + 1 file fail_closed_*.dart (noSuchMethod throw, khuon arena - KHONG dung khuon wallet vi wallet la 'outlier' theo memory) + wire guardedRepository vao provider (khuon wallet_repository_provider.dart:8-15). Lam 2 lo, tung lo re-baseline architecture_baseline_guardrails_test.dart (+4 roi +8, co giai thich).","cd flutter_app && flutter test test/quality/architecture_baseline_guardrails_test.dart (10/10, baseline 60) && flutter analyze (0 issue)","done","§3 › 3.3"
"ERR-34","03-loi-phuc-hoi","GD1","cai-thien","P1","S","115","ERR-33","","","ai","flutter_app/test/quality/repository_guard_coverage_guardrail_test.dart (moi)","DA XONG 2026-07-16 - guardrail duyet 29 file *_repository_provider.dart trong lib/features, assert chua 'guardedRepository'; allowlist {dev, enterprise_states} (2 file, dev/demo scaffolding that su - da xac nhan qua audit). Sau ERR-33, ca 27 provider that deu pass ngay lan dau.","cd flutter_app && flutter test test/quality/repository_guard_coverage_guardrail_test.dart (1/1 pass)","done","§3 › 3.4"
"STATE-S24","02-state","GD1","cai-thien","P1","S","120","","","","ai","flutter_app/test/quality/state_management_guardrail_test.dart (moi)","DA XONG 2026-07-16 - phuong an (b) guardrail grep (khong dung riverpod_lint de tranh conflict phu thuoc). 2 test: (1) Provider.family co key khong phai scalar (String/int/double/num/bool) MA khong .autoDispose - regex quet toan bo lib/app/providers/, ghim baseline THAT (11 provider, khong phai '3' nhu bao cao goc: 4 trade + p2pHome/p2pExpressConfirm/p2pTaxReporting/p2pWalletTransfer + tradeCopyConfirmation/tradeCopyConfiguration + walletDeposit/withdraw). (2) 'late List<' trong presentation/pages seed tu ref.read( - ghim 17 trang that (khong phai '18' - dedup 2 dong trung file savings_notification_preferences_page.dart thanh 1 file). Ca 2 da TU VERIFY bang cach xoa tam 1 allowlist entry va xac nhan guardrail fail dung, roi khoi phuc.","cd flutter_app && flutter analyze && flutter test test/quality/state_management_guardrail_test.dart (2/2 pass)","done","§2 › S2.4"
"PERF-HN1","05-hieu-nang","GD1","viet-lai","P0","M","125","STATE-S24","","","ai","flutter_app/lib/app/providers/trade_controller_providers.dart;flutter_app/lib/features/trade_core/domain/entities/trade_core_spot_entities.dart;flutter_app/lib/features/trade_terminal/domain/entities/trade_futures_leverage_entities.dart;flutter_app/test/quality/trade_order_provider_leak_guardrail_test.dart (moi)","DA XONG 2026-07-16 - phuong an (b) (tam thoi, day du Notifier migration la STATE-S22 o GD2): (1) tradeOrderControllerProvider + tradeFuturesOrderControllerProvider doi sang Provider.autoDispose.family; (2) TradeOrderDraft + TradeFuturesOrderDraft duoc them operator==/hashCode (value equality). GHI CHU QUAN TRONG: tradeLeverageControllerProvider/tradeMarginControllerProvider KHONG can sua - key cua chung la record thuan scalar (vd {pairId, int leverage}) da co structural equality san co cua Dart records, KHONG phai bug thuc su nhu bao cao goc ngu y. Test dung ProviderContainer+ProviderObserver truc tiep (khong dung widget pump - phat hien enterText() cung gia tri KHONG trigger rebuild that trong widget test nen khong phan anh dung bug). Test da tu-verify: bo tam operator== -> test fail dung, khoi phuc -> pass.","cd flutter_app && flutter analyze && flutter test test/quality/trade_order_provider_leak_guardrail_test.dart (2/2 pass) && flutter test test/features/trade","done","§5 › HN-1 (= §2 › S2.1)"
"STATE-S21","02-state","GD1","viet-lai","P1","M","126","","","PERF-HN1","ai","(xem PERF-HN1)","TRUNG PHAM VI voi PERF-HN1 — cung mot viec mo ta tu 2 chieu. Thuc thi mot lan tai PERF-HN1.","(theo PERF-HN1)","dup","§2 › S2.1"
"TEST-HR2","10-kiem-thu","GD1","cai-thien","P0","M","130","","","","ai","flutter_app/test/features/earn/domain/earn_entities_test.dart (moi)","DA XONG 2026-07-16 - DRIFT LON: tang data DA duoc phu tu mot phien lam viec truoc (7 file test/features/earn/data/mock_earn_repository_*_test.dart, bao gom ca invariant highRiskContractId=='earn_savings_staking' o staking_core_test.dart:44) - KHONG phai '0 test tang data/domain' nhu bao cao goc. Chi con thieu domain: tao earn_entities_test.dart 6 test cho StakingProposalDraft (yesPercent/noPercent, nhanh totalVotes==0), StakingValidatorHealthMonitorSnapshot (healthyCount/warningCount/averageUptime, + phat hien edge case that: averageUptime tren list rong la NaN do chia 0/0, chua co production code nao gap phai nhung da ghi lai), StakingAuditFindingsDraft (resolvedFindings loai tru informational).","cd flutter_app && flutter test test/features/earn/domain/earn_entities_test.dart (6/6) && flutter test test/features/earn (479/479)","done","§10 › HR-2"
"ARCH-A2","01-kien-truc","GD1","cai-thien","P1","M","135","","","","ai","flutter_app/test/quality/module_dependency_cycle_guardrail_test.dart (moi)","DA XONG 2026-07-16 - DA VERIFY LAI CA 2 CYCLE VAN CON THAT (grep truc tiep, khac voi punch-list #1 phien truoc chi xoa union repository domain-layer, KHONG xoa export presentation-layer nay). Do chinh xac 13 edge cua 5 cap 2-cycle that (trade<->trade_terminal; trade_core<->{trade_bots,trade_compliance,trade_copy,trade_terminal}) bang script debug rieng truoc khi viet allowlist - khong doan. 2 test: (1) DFS tren graph sau khi loai allowlist edges, assert khong cycle moi; (2) rieng biet: trade_core->sibling ratchet <=4 (khong phai hard-ban tuyet doi vi ARCH-A1 - fix that su - la task GD2 rieng, chua lam). Ca 2 da tu-verify: xoa/rong allowlist -> fail dung, khoi phuc -> pass.","cd flutter_app && flutter test test/quality/module_dependency_cycle_guardrail_test.dart (2/2 pass)","done","§1 › A2"
"DEBT-83","08-no-code","GD1","cai-thien","P1","S","140","","","","ai","flutter_app/test/quality/architecture_baseline_guardrails_test.dart","DA XONG 2026-07-16 - DOI HUONG so voi ke hoach ban dau: KHONG dung allowlist theo ten ham (288 ham khong delegate qua nhieu - da dem that bang script, khong phai '312' nhu bao cao goc). Dung dung kieu ratchet-dem ma chinh file nay da dung cho debt khac (vd 'hardcoded color usage', 'large-file debt'): dem tong so khai bao 'String _format*' KHONG delegate trong 5 dong sau khai bao, dong bang o 288 (sau DEBT-81 giam con 286). Tranh duoc allowlist khong the bao tri o quy mo nay.","cd flutter_app && flutter test test/quality/architecture_baseline_guardrails_test.dart (11/11 pass)","done","§8 › 8.3"
"DEBT-81","08-no-code","GD1","cai-thien","P1","S","141","","","","ai","flutter_app/lib/features/earn/presentation/widgets/hub/auto_compound_settings_shared.dart;flutter_app/lib/features/earn/presentation/pages/staking/auto_compound_settings_page.dart;flutter_app/lib/features/earn/presentation/widgets/staking/staking_auto_compound_shared.dart;flutter_app/lib/features/earn/presentation/pages/staking/staking_auto_compound_page.dart","DA XONG 2026-07-16 - PHAT HIEN: da co san lib/features/earn/presentation/widgets/hub/earn_formatters.dart (EarnFormatters.usd) tu 1 dot ponytail-audit truoc, nhung _formatUsd o auto_compound_settings_shared.dart bi BO SOT khi migrate (chinh la bug DEBT-81). Sua: (1) auto_compound_settings_shared.dart _formatUsd -> delegate EarnFormatters.usd (them import vao file library auto_compound_settings_page.dart, vi day la part-file); (2) staking_auto_compound_shared.dart _formatCurrency -> VitFormat.usd (compact=false) / VitFormat.usdWhole (compact=true, KHONG phai compactInt nhu du kien ban dau - da doc code xac nhan compactInt thieu ky hieu $). GHI CHU: sua nay doi thu tu dau am tu '$-X' (sai, cu) thanh '-$X' (dung, chuan toan app) cho gia tri am - la sua dung, khong phai regression.","cd flutter_app && flutter test test/shared/utils/vit_format_test.dart && flutter test test/features/earn (479/479) && grep -c toStringAsFixed(2) 2 file (chi con trong ham _formatAmount, khong phai ham tien)","done","§8 › 8.1"
"DEBT-84","08-no-code","GD1","cai-thien","P1","M","142","","","","ai","flutter_app/test/shared/utils/vit_format_test.dart;flutter_app/test/quality/money_copy_guardrail_test.dart (moi)","DA XONG 2026-07-16. (a) Them 9 test cho 7 method con thieu (count, thousands, email, account, percent, signedPercent, compactInt) + stripTrailingZero cho compactSuffix + 1 test truc tiep VitFormat.usd - tong 13 test, 12/12 method deu co assertion. (b) KHONG tao tool/money_copy_audit.dart --check rieng (don gian hoa co chu dich - khong can CSV manifest cho pattern don gian nay, nhat quan voi cach state_management/module_dependency guardrail da lam trong session nay). Guardrail dung ratchet-dem (176 - da dem that, KHONG allowlist ten vi qua lon va da phan la compact K/M/B/T formatter hop le, khong phai bug).","cd flutter_app && flutter test test/shared/utils/vit_format_test.dart (13/13) && flutter test test/quality/money_copy_guardrail_test.dart (1/1)","done","§8 › 8.4"
"SEC-S43","04-bao-mat","GD1","toi-uu","P2","M","145","","","","ai","flutter_app/lib/core/utils/data_masking.dart;17 call site that (khao sat lai chinh xac bang grep, khong doan tu bao cao goc)","DA XONG 2026-07-16. Them maskAddress(value, {head=6, tail=4}) vao data_masking.dart. Khao sat that tim ra 17 site (khong phai ~13): 15 dung 1 trong 4 bien the head/tail (6/4 mac dinh, 16/8, 20/10, 10/4, 8/6) delegate maskAddress; 1 site (p2p_order_dispute_controllers.dart _maskPaymentAccount) hoa ra la BAN SAO CUA maskAccountNumber CO SAN (khong phai maskAddress) - delegate ve maskAccountNumber; 2 site la getter tren 1 dong bi split 2 dong (wallet_entities_management_tools.dart maskedAddress/maskedSpender) - van la pattern 6/4 chuan. Nhieu file la domain-entity/controller part-file (p2p_entities.dart, wallet_entities.dart, launchpad_entities.dart, p2p_controller.dart) - them import vao dung file library, khong phai part-file.","grep -rE 'substring\(0, [0-9]+\)\}\.\.\.' flutter_app/lib = 0 ngoai data_masking.dart; cd flutter_app && flutter analyze (0 issue) && flutter test test/features/wallet test/features/p2p test/features/launchpad test/features/earn (1219/1219)","done","§4 › S4.3"
"SEC-S44","04-bao-mat","GD1","cai-thien","P2","S","146","SEC-S43","","","ai","flutter_app/test/core/utils/data_masking_test.dart (moi)","DA XONG 2026-07-16. 14 test: maskEmail (1-ky-tu local part, khong @, @ o dau chuoi), maskAccountNumber (rong, <=4, 5-6 prefix 1, >=7 prefix 3, trim whitespace), maskAddress (default 6/4, qua ngan tra nguyen, dung bien bien length==head+tail+1, custom head/tail, trim whitespace). LUU Y: sau batch nay phat hien 3 audit artifact khac (back_navigation_behavior, top_header_action, top_header_global_access_policy) bi stale do cac file wallet/p2p/launchpad vua sua cham vao pham vi quet cua chung - da regenerate ca 3, 0 violation that.","cd flutter_app && flutter test test/core/utils/data_masking_test.dart (14/14)","done","§4 › S4.4"
