feature,route,page,page_file,screen_level,archetype,body_grade,official_density_score,visual_density_risk_score,visual_density_priority,tokenized_fixed_height_refs,tokenized_gap_refs,spacer_refs,manual_content_refs,bottom_inset_refs,root_top_chrome_refs,detail_top_chrome_refs,scroll_refs,grid_or_wrap_refs,root_causes,recommendation,source_files,unresolved_source_files
profile,AppRoutePaths.profile,ProfilePage,flutter_app/lib/features/profile/presentation/phone/pages/profile_page.dart,L1_primaryTabRoot,rootModule,B,11,22,P3_LOW_DENSITY_REVIEW,0,0,0,0,4,1,0,1,2,bottom_nav_inset_pressure;root_top_chrome_first_viewport_cost,Recheck bottom-nav/sticky-footer clearance and keep primary content visible above chrome.,flutter_app/lib/features/profile/presentation/phone/pages/profile_home_arena_stats.dart;flutter_app/lib/features/profile/presentation/phone/pages/profile_home_hero.dart;flutter_app/lib/features/profile/presentation/phone/pages/profile_home_legal_accordion.dart;flutter_app/lib/features/profile/presentation/phone/pages/profile_home_menu_actions.dart;flutter_app/lib/features/profile/presentation/phone/pages/profile_home_vip_prediction.dart;flutter_app/lib/features/profile/presentation/phone/pages/profile_page.dart;flutter_app/lib/features/profile/presentation/widgets/common/profile_icon_registry.dart,
wallet,AppRoutePaths.wallet,WalletPage,flutter_app/lib/features/wallet/presentation/phone/pages/wallet_page.dart,L1_primaryTabRoot,rootModule,B,9,22,P3_LOW_DENSITY_REVIEW,0,0,0,0,5,1,0,1,2,bottom_nav_inset_pressure;root_top_chrome_first_viewport_cost,Recheck bottom-nav/sticky-footer clearance and keep primary content visible above chrome.,flutter_app/lib/features/wallet/presentation/phone/pages/wallet_page.dart;flutter_app/lib/features/wallet/presentation/widgets/phone/wallet_page_allocation_sections.dart;flutter_app/lib/features/wallet/presentation/widgets/phone/wallet_page_asset_sections.dart;flutter_app/lib/features/wallet/presentation/widgets/phone/wallet_page_balance_sections.dart;flutter_app/lib/features/wallet/presentation/widgets/phone/wallet_page_dca_tool_sections.dart;flutter_app/lib/features/wallet/presentation/widgets/phone/wallet_page_sections.dart;flutter_app/lib/features/wallet/presentation/widgets/phone/wallet_unavailable_banner.dart,
earn_staking,AppRoutePaths.earnLiquidStaking,StakingLiquidStakingPage,flutter_app/lib/features/earn_staking/presentation/pages/staking/staking_liquid_staking_page.dart,L2_detail,detail,A,0,21,P3_LOW_DENSITY_REVIEW,2,0,1,0,4,0,3,2,0,spacer_inside_cards;bottom_nav_inset_pressure,Remove Spacer-driven loose card expansion or replace with fixed compact content rhythm.,flutter_app/lib/features/earn_staking/presentation/pages/staking/staking_liquid_staking_page.dart;flutter_app/lib/features/earn_staking/presentation/widgets/staking/staking_liquid_staking_benefits.dart;flutter_app/lib/features/earn_staking/presentation/widgets/staking/staking_liquid_staking_common.dart;flutter_app/lib/features/earn_staking/presentation/widgets/staking/staking_liquid_staking_detail_sheet.dart;flutter_app/lib/features/earn_staking/presentation/widgets/staking/staking_liquid_staking_holdings.dart;flutter_app/lib/features/earn_staking/presentation/widgets/staking/staking_liquid_staking_stake.dart;flutter_app/lib/features/earn_staking/presentation/widgets/staking/staking_liquid_staking_swap.dart;flutter_app/lib/features/earn_staking/presentation/widgets/staking/staking_liquid_staking_swap_fields.dart,
launchpad,AppRoutePaths.launchpadContractSample,LaunchpadContractPage,flutter_app/lib/features/launchpad/presentation/pages/hub/launchpad_contract_page.dart,L2_detail,detail,A,0,21,P3_LOW_DENSITY_REVIEW,0,0,0,0,9,0,3,1,1,bottom_nav_inset_pressure,Recheck bottom-nav/sticky-footer clearance and keep primary content visible above chrome.,flutter_app/lib/features/launchpad/presentation/pages/hub/launchpad_contract_page.dart,
launchpad,AppRoutePaths.launchpadSample,LaunchpadDetailPage,flutter_app/lib/features/launchpad/presentation/pages/hub/launchpad_detail_page.dart,L3_transactionFlow,detail,A,0,21,P3_LOW_DENSITY_REVIEW,0,0,0,0,9,0,3,1,2,bottom_nav_inset_pressure,Recheck bottom-nav/sticky-footer clearance and keep primary content visible above chrome.,flutter_app/lib/features/launchpad/presentation/pages/hub/launchpad_detail_page.dart,
launchpad,AppRoutePaths.launchpadIdoBridgeSample,LaunchpadIdoBridgePage,flutter_app/lib/features/launchpad/presentation/pages/bridge/launchpad_ido_bridge_page.dart,L2_detail,detail,A,0,21,P3_LOW_DENSITY_REVIEW,0,0,0,0,9,0,3,1,0,bottom_nav_inset_pressure,Recheck bottom-nav/sticky-footer clearance and keep primary content visible above chrome.,flutter_app/lib/features/launchpad/presentation/pages/bridge/launchpad_ido_bridge_page.dart,
p2p_orders,'/p2p/order/timeline/:orderId',P2POrderTimelinePage,flutter_app/lib/features/p2p_orders/presentation/pages/orders/p2p_order_timeline_page.dart,L2_entityDetail,detail,B,12,21,P3_LOW_DENSITY_REVIEW,0,0,0,0,4,0,1,1,0,bottom_nav_inset_pressure,Recheck bottom-nav/sticky-footer clearance and keep primary content visible above chrome.,flutter_app/lib/features/p2p_orders/presentation/pages/orders/p2p_order_timeline_page.dart,
predictions,AppRoutePaths.marketsPredictionsSearch,PredictionsSearchPage,flutter_app/lib/features/predictions/presentation/pages/hub/predictions_search_page.dart,L1_utilityHub,detail,B,12,21,P3_LOW_DENSITY_REVIEW,0,0,1,0,2,0,1,3,1,spacer_inside_cards;bottom_nav_inset_pressure,Remove Spacer-driven loose card expansion or replace with fixed compact content rhythm.,flutter_app/lib/features/predictions/presentation/pages/hub/predictions_search_page.dart;flutter_app/lib/features/predictions/presentation/widgets/hub/predictions_search_page_common.dart;flutter_app/lib/features/predictions/presentation/widgets/hub/predictions_search_page_sections.dart;flutter_app/lib/features/predictions/presentation/widgets/predictions_outcome_widgets.dart;flutter_app/lib/features/predictions/presentation/widgets/predictions_time_remaining.dart,
referral,AppRoutePaths.referralHistory,ReferralHistoryPage,flutter_app/lib/features/referral/presentation/pages/referral_history_page.dart,L1_utilityHub,detail,B,12,21,P3_LOW_DENSITY_REVIEW,0,0,0,0,4,0,1,2,1,bottom_nav_inset_pressure,Recheck bottom-nav/sticky-footer clearance and keep primary content visible above chrome.,flutter_app/lib/features/referral/presentation/pages/referral_history_page.dart;flutter_app/lib/features/referral/presentation/widgets/referral_history_page_common.dart;flutter_app/lib/features/referral/presentation/widgets/referral_history_page_sections.dart,
earn_savings,AppRoutePaths.earnSavingsProductSample,SavingsProductDetailPage,flutter_app/lib/features/earn_savings/presentation/pages/savings/savings_product_detail_page.dart,L2_entityDetail,detail,A,4,20,P3_LOW_DENSITY_REVIEW,1,0,0,0,5,0,3,1,0,bottom_nav_inset_pressure,Recheck bottom-nav/sticky-footer clearance and keep primary content visible above chrome.,flutter_app/lib/features/earn_savings/presentation/pages/savings/savings_product_detail_page.dart,
earn_savings,AppRoutePaths.earnSavingsExport,SavingsExportPage,flutter_app/lib/features/earn_savings/presentation/pages/savings/savings_export_page.dart,L2_detail,detail,A,0,19,P3_LOW_DENSITY_REVIEW,0,3,0,0,5,0,3,1,0,bottom_nav_inset_pressure,Recheck bottom-nav/sticky-footer clearance and keep primary content visible above chrome.,flutter_app/lib/features/earn_savings/presentation/pages/savings/savings_export_page.dart;flutter_app/lib/features/earn_savings/presentation/widgets/savings/savings_export_config_widgets.dart;flutter_app/lib/features/earn_savings/presentation/widgets/savings/savings_export_option_widgets.dart;flutter_app/lib/features/earn_savings/presentation/widgets/savings/savings_export_summary_widgets.dart,
earn_savings,AppRoutePaths.earnSavingsHistory,SavingsHistoryPage,flutter_app/lib/features/earn_savings/presentation/pages/savings/savings_history_page.dart,L2_utilityDetail,detail,B,12,19,P3_LOW_DENSITY_REVIEW,0,0,0,0,2,0,3,2,0,bottom_nav_inset_pressure,Recheck bottom-nav/sticky-footer clearance and keep primary content visible above chrome.,flutter_app/lib/features/earn_savings/presentation/pages/savings/savings_history_page.dart;flutter_app/lib/features/earn_savings/presentation/widgets/savings/savings_history_page_common.dart;flutter_app/lib/features/earn_savings/presentation/widgets/savings/savings_history_page_sections.dart,
p2p_security,AppRoutePaths.p2pComplianceAmlScreening,P2PAmlScreeningPage,flutter_app/lib/features/p2p_security/presentation/pages/security/p2p_aml_screening_page.dart,L2_detail,detail,B,12,19,P3_LOW_DENSITY_REVIEW,0,0,0,0,2,0,3,1,0,bottom_nav_inset_pressure,Recheck bottom-nav/sticky-footer clearance and keep primary content visible above chrome.,flutter_app/lib/features/p2p_security/presentation/pages/security/p2p_aml_screening_page.dart,
wallet,AppRoutePaths.walletNetworkStatus,NetworkStatusPage,flutter_app/lib/features/wallet/presentation/pages/tools/network_status_page.dart,L2_detail,detail,B,8,19,P3_LOW_DENSITY_REVIEW,0,0,0,0,5,0,1,1,1,bottom_nav_inset_pressure,Recheck bottom-nav/sticky-footer clearance and keep primary content visible above chrome.,flutter_app/lib/features/wallet/presentation/pages/tools/network_status_page.dart;flutter_app/lib/features/wallet/presentation/widgets/tools/network_status_cards_stats.dart;flutter_app/lib/features/wallet/presentation/widgets/tools/network_status_legend_common.dart;flutter_app/lib/features/wallet/presentation/widgets/tools/network_status_summary.dart,
wallet,'${AppRoutePaths.walletWithdraw}/:asset',WithdrawTabletPage,flutter_app/lib/features/wallet/presentation/tablet/pages/withdraw_tablet_page.dart,L3_transactionFlow,detail,A,0,19,P3_LOW_DENSITY_REVIEW,5,2,0,0,0,0,0,1,0,tokenized_fixed_height_pressure,Compact first viewport: reduce tall tokenized cards/gaps and verify first repeated/actionable section above bottom nav.,flutter_app/lib/features/wallet/presentation/tablet/pages/withdraw_tablet_page.dart;flutter_app/lib/features/wallet/presentation/widgets/transfer/withdraw_amount_actions.dart;flutter_app/lib/features/wallet/presentation/widgets/transfer/withdraw_common.dart;flutter_app/lib/features/wallet/presentation/widgets/transfer/withdraw_form_sections.dart;flutter_app/lib/features/wallet/presentation/widgets/transfer/withdraw_network_picker.dart;flutter_app/lib/features/wallet/presentation/widgets/transfer/withdraw_preview_sheet.dart,
wallet,AppRoutePaths.walletWithdraw,WithdrawTabletPage,flutter_app/lib/features/wallet/presentation/tablet/pages/withdraw_tablet_page.dart,L3_transactionFlow,detail,A,0,19,P3_LOW_DENSITY_REVIEW,5,2,0,0,0,0,0,1,0,tokenized_fixed_height_pressure,Compact first viewport: reduce tall tokenized cards/gaps and verify first repeated/actionable section above bottom nav.,flutter_app/lib/features/wallet/presentation/tablet/pages/withdraw_tablet_page.dart;flutter_app/lib/features/wallet/presentation/widgets/transfer/withdraw_amount_actions.dart;flutter_app/lib/features/wallet/presentation/widgets/transfer/withdraw_common.dart;flutter_app/lib/features/wallet/presentation/widgets/transfer/withdraw_form_sections.dart;flutter_app/lib/features/wallet/presentation/widgets/transfer/withdraw_network_picker.dart;flutter_app/lib/features/wallet/presentation/widgets/transfer/withdraw_preview_sheet.dart,
earn_staking,AppRoutePaths.earnInstitutional,StakingInstitutionalPage,flutter_app/lib/features/earn_staking/presentation/pages/staking/staking_institutional_page.dart,L2_detail,detail,A,1,18,P3_LOW_DENSITY_REVIEW,0,0,1,0,5,0,3,2,0,spacer_inside_cards;bottom_nav_inset_pressure,Remove Spacer-driven loose card expansion or replace with fixed compact content rhythm.,flutter_app/lib/features/earn_staking/presentation/pages/staking/staking_institutional_page.dart;flutter_app/lib/features/earn_staking/presentation/widgets/staking/staking_institutional_overview_batches.dart;flutter_app/lib/features/earn_staking/presentation/widgets/staking/staking_institutional_sheet_painter.dart;flutter_app/lib/features/earn_staking/presentation/widgets/staking/staking_institutional_signers_features.dart,
support,AppRoutePaths.supportHelp,HelpCenterPage,flutter_app/lib/features/support/presentation/pages/help_center_page.dart,L1_utilityHub,detail,A,4,18,P3_LOW_DENSITY_REVIEW,0,0,0,1,4,0,1,1,0,bottom_nav_inset_pressure,Recheck bottom-nav/sticky-footer clearance and keep primary content visible above chrome.,flutter_app/lib/features/support/presentation/pages/help_center_page.dart;flutter_app/lib/features/support/presentation/widgets/help_center_hero_actions.dart;flutter_app/lib/features/support/presentation/widgets/help_center_sections.dart,
admin,AppRoutePaths.adminAbtests,ABTestDashboardPage,flutter_app/lib/features/admin/presentation/pages/ab_test_dashboard_page.dart,L2_sectionHub,detail,B,8,17,P3_LOW_DENSITY_REVIEW,0,0,1,0,2,0,1,0,1,spacer_inside_cards;bottom_nav_inset_pressure,Remove Spacer-driven loose card expansion or replace with fixed compact content rhythm.,flutter_app/lib/features/admin/presentation/pages/ab_test_dashboard_page.dart;flutter_app/lib/features/admin/presentation/widgets/ab_test_dashboard_common.dart;flutter_app/lib/features/admin/presentation/widgets/ab_test_dashboard_sections.dart;flutter_app/lib/features/admin/presentation/widgets/admin_dashboard_state_content.dart;flutter_app/lib/features/admin/presentation/widgets/admin_metric_card.dart,
earn_savings,AppRoutePaths.earnSavingsBacktest,SavingsBacktestPage,flutter_app/lib/features/earn_savings/presentation/pages/savings/savings_backtest_page.dart,L2_detail,detail,A,0,17,P3_LOW_DENSITY_REVIEW,0,2,0,0,5,0,3,1,2,bottom_nav_inset_pressure,Recheck bottom-nav/sticky-footer clearance and keep primary content visible above chrome.,flutter_app/lib/features/earn_savings/presentation/pages/savings/savings_backtest_page.dart;flutter_app/lib/features/earn_savings/presentation/widgets/savings/savings_backtest_compare.dart;flutter_app/lib/features/earn_savings/presentation/widgets/savings/savings_backtest_formatters.dart;flutter_app/lib/features/earn_savings/presentation/widgets/savings/savings_backtest_hero.dart;flutter_app/lib/features/earn_savings/presentation/widgets/savings/savings_backtest_results.dart;flutter_app/lib/features/earn_savings/presentation/widgets/savings/savings_backtest_setup.dart,
earn_savings,AppRoutePaths.earnSavings,SavingsPage,flutter_app/lib/features/earn_savings/presentation/pages/savings/savings_page.dart,L2_detail,detail,A,0,17,P3_LOW_DENSITY_REVIEW,0,2,0,0,5,0,3,1,3,bottom_nav_inset_pressure,Recheck bottom-nav/sticky-footer clearance and keep primary content visible above chrome.,flutter_app/lib/features/earn_savings/presentation/pages/savings/savings_page.dart;flutter_app/lib/features/earn_savings/presentation/widgets/savings/savings_home_common.dart;flutter_app/lib/features/earn_savings/presentation/widgets/savings/savings_home_hero.dart;flutter_app/lib/features/earn_savings/presentation/widgets/savings/savings_home_positions.dart;flutter_app/lib/features/earn_savings/presentation/widgets/savings/savings_home_products.dart,
earn_staking,AppRoutePaths.earnAdvancedOrders,StakingAdvancedOrdersPage,flutter_app/lib/features/earn_staking/presentation/pages/staking/staking_advanced_orders_page.dart,L2_detail,detail,A,1,17,P3_LOW_DENSITY_REVIEW,1,0,0,0,5,0,3,2,0,bottom_nav_inset_pressure,Recheck bottom-nav/sticky-footer clearance and keep primary content visible above chrome.,flutter_app/lib/features/earn_staking/presentation/pages/staking/staking_advanced_orders_page.dart;flutter_app/lib/features/earn_staking/presentation/widgets/staking/staking_advanced_orders_guidance.dart;flutter_app/lib/features/earn_staking/presentation/widgets/staking/staking_advanced_orders_overview_orders.dart;flutter_app/lib/features/earn_staking/presentation/widgets/staking/staking_advanced_orders_sheet_fields.dart,
earn_staking,AppRoutePaths.earnAuditReports,StakingAuditReportsPage,flutter_app/lib/features/earn_staking/presentation/pages/staking/staking_audit_reports_page.dart,L2_utilityDetail,detail,A,0,17,P3_LOW_DENSITY_REVIEW,0,2,0,0,5,0,3,1,1,bottom_nav_inset_pressure,Recheck bottom-nav/sticky-footer clearance and keep primary content visible above chrome.,flutter_app/lib/features/earn_staking/presentation/pages/staking/staking_audit_reports_page.dart;flutter_app/lib/features/earn_staking/presentation/widgets/staking/staking_audit_reports_bounty_common.dart;flutter_app/lib/features/earn_staking/presentation/widgets/staking/staking_audit_reports_hero_tabs.dart;flutter_app/lib/features/earn_staking/presentation/widgets/staking/staking_audit_reports_reports_findings.dart,
earn_staking,AppRoutePaths.earnFAQ,StakingFAQPage,flutter_app/lib/features/earn_staking/presentation/pages/staking/staking_faq_page.dart,L2_utilityDetail,detail,A,4,17,P3_LOW_DENSITY_REVIEW,0,0,0,0,5,0,3,1,0,bottom_nav_inset_pressure,Recheck bottom-nav/sticky-footer clearance and keep primary content visible above chrome.,flutter_app/lib/features/earn_staking/presentation/pages/staking/staking_faq_page.dart,
earn_staking,AppRoutePaths.earnProposals,StakingProposalsPage,flutter_app/lib/features/earn_staking/presentation/pages/staking/staking_proposals_page.dart,L2_detail,detail,A,4,17,P3_LOW_DENSITY_REVIEW,0,0,0,0,5,0,3,1,1,bottom_nav_inset_pressure,Recheck bottom-nav/sticky-footer clearance and keep primary content visible above chrome.,flutter_app/lib/features/earn_staking/presentation/pages/staking/staking_proposals_page.dart,
earn_staking,AppRoutePaths.earnStakingRiskDisclosure,StakingRiskDisclosurePage,flutter_app/lib/features/earn_staking/presentation/pages/staking/staking_risk_disclosure_page.dart,L2_utilityDetail,detail,A,2,17,P3_LOW_DENSITY_REVIEW,0,1,0,0,5,0,3,1,2,bottom_nav_inset_pressure,Recheck bottom-nav/sticky-footer clearance and keep primary content visible above chrome.,flutter_app/lib/features/earn_staking/presentation/pages/staking/staking_risk_disclosure_page.dart;flutter_app/lib/features/earn_staking/presentation/widgets/staking/staking_risk_disclosure_assessment_common.dart;flutter_app/lib/features/earn_staking/presentation/widgets/staking/staking_risk_disclosure_categories.dart;flutter_app/lib/features/earn_staking/presentation/widgets/staking/staking_risk_disclosure_overview.dart,
launchpad,AppRoutePaths.launchpadBatchClaim,LaunchpadBatchClaimPage,flutter_app/lib/features/launchpad/presentation/pages/claim/launchpad_batch_claim_page.dart,L3_transactionFlow,detail,A,0,17,P3_LOW_DENSITY_REVIEW,0,0,0,0,7,0,3,1,2,bottom_nav_inset_pressure,Recheck bottom-nav/sticky-footer clearance and keep primary content visible above chrome.,flutter_app/lib/features/launchpad/presentation/pages/claim/launchpad_batch_claim_page.dart;flutter_app/lib/features/launchpad/presentation/widgets/claim/launchpad_batch_claim_review_success.dart;flutter_app/lib/features/launchpad/presentation/widgets/claim/launchpad_batch_claim_selection.dart;flutter_app/lib/features/launchpad/presentation/widgets/claim/launchpad_batch_claim_summary.dart,
markets,AppRoutePaths.marketsMovers,MarketMoversPage,flutter_app/lib/features/markets/presentation/pages/tools/market_movers_page.dart,L2_detail,detail,A,4,17,P3_LOW_DENSITY_REVIEW,0,0,0,0,6,0,1,2,2,bottom_nav_inset_pressure,Recheck bottom-nav/sticky-footer clearance and keep primary content visible above chrome.,flutter_app/lib/features/markets/presentation/pages/tools/market_movers_page.dart;flutter_app/lib/features/markets/presentation/widgets/hub/market_formatters.dart;flutter_app/lib/features/markets/presentation/widgets/tools/market_movers_filters.dart;flutter_app/lib/features/markets/presentation/widgets/tools/market_movers_results.dart;flutter_app/lib/features/markets/presentation/widgets/tools/market_movers_row_common.dart;flutter_app/lib/features/markets/presentation/widgets/tools/market_movers_sparkline.dart,
profile,AppRoutePaths.profileEdit,EditProfilePage,flutter_app/lib/features/profile/presentation/pages/edit_profile_page.dart,L3_transactionFlow,detail,B,12,17,P3_LOW_DENSITY_REVIEW,0,0,0,0,2,0,1,1,0,bottom_nav_inset_pressure,Recheck bottom-nav/sticky-footer clearance and keep primary content visible above chrome.,flutter_app/lib/features/profile/presentation/pages/edit_profile_page.dart,
earn_savings,AppRoutePaths.earnSavingsFAQ,SavingsFAQPage,flutter_app/lib/features/earn_savings/presentation/pages/savings/savings_faq_page.dart,L2_utilityDetail,detail,A,0,16,P3_LOW_DENSITY_REVIEW,1,0,0,0,5,0,3,2,0,bottom_nav_inset_pressure,Recheck bottom-nav/sticky-footer clearance and keep primary content visible above chrome.,flutter_app/lib/features/earn_savings/presentation/pages/savings/savings_faq_page.dart;flutter_app/lib/features/earn_savings/presentation/widgets/savings/savings_faq_page_common.dart;flutter_app/lib/features/earn_savings/presentation/widgets/savings/savings_faq_page_sections.dart,
earn_staking,AppRoutePaths.earnMultiChain,StakingMultiChainPage,flutter_app/lib/features/earn_staking/presentation/pages/staking/staking_multi_chain_page.dart,L2_detail,detail,A,0,16,P3_LOW_DENSITY_REVIEW,1,0,0,0,5,0,3,1,1,bottom_nav_inset_pressure,Recheck bottom-nav/sticky-footer clearance and keep primary content visible above chrome.,flutter_app/lib/features/earn_staking/presentation/pages/staking/staking_multi_chain_page.dart;flutter_app/lib/features/earn_staking/presentation/widgets/staking/staking_multi_chain_page_common.dart;flutter_app/lib/features/earn_staking/presentation/widgets/staking/staking_multi_chain_page_sections.dart,
