rule,path,line,detail
R3-wrap-micro,features/p2p_core/presentation/tablet/pages/p2p_compliance_tablet_pages_sections.dart,182,"Wrap spacing x3 — Wrap là cụm pill/badge, role micro = 4 (x1/x2)."
R3-wrap-micro,features/p2p_core/presentation/tablet/pages/p2p_compliance_tablet_pages_sections.dart,314,"Wrap spacing x3 — Wrap là cụm pill/badge, role micro = 4 (x1/x2)."
R3-wrap-micro,features/p2p_core/presentation/tablet/pages/p2p_create_ad_tablet_page.dart,103,"Wrap spacing x3 — Wrap là cụm pill/badge, role micro = 4 (x1/x2)."
R3-wrap-micro,features/p2p_core/presentation/tablet/pages/p2p_create_ad_tablet_page.dart,161,"Wrap spacing x3 — Wrap là cụm pill/badge, role micro = 4 (x1/x2)."
R3-wrap-micro,features/p2p_core/presentation/tablet/pages/p2p_create_ad_tablet_page.dart,179,"Wrap spacing x3 — Wrap là cụm pill/badge, role micro = 4 (x1/x2)."
R3-wrap-micro,features/p2p_core/presentation/tablet/pages/p2p_dashboard_tablet_page.dart,183,"Wrap spacing x3 — Wrap là cụm pill/badge, role micro = 4 (x1/x2)."
R3-wrap-micro,features/p2p_core/presentation/tablet/pages/p2p_dispute_tablet_pages_sections.dart,264,"Wrap spacing x3 — Wrap là cụm pill/badge, role micro = 4 (x1/x2)."
R3-wrap-micro,features/p2p_core/presentation/tablet/pages/p2p_express_tablet_page.dart,233,"Wrap spacing x3 — Wrap là cụm pill/badge, role micro = 4 (x1/x2)."
R4-label-control,features/p2p_core/presentation/tablet/pages/p2p_express_tablet_page.dart,291,"Label→control = x2 — role form field stack = 8 (x3/rowGap)."
R3-wrap-micro,features/p2p_core/presentation/tablet/pages/p2p_express_tablet_page.dart,299,"Wrap spacing x3 — Wrap là cụm pill/badge, role micro = 4 (x1/x2)."
R3-wrap-micro,features/p2p_core/presentation/tablet/pages/p2p_express_tablet_page.dart,356,"Wrap spacing x3 — Wrap là cụm pill/badge, role micro = 4 (x1/x2)."
R3-wrap-micro,features/p2p_core/presentation/tablet/pages/p2p_home_tablet_page.dart,146,"Wrap spacing x3 — Wrap là cụm pill/badge, role micro = 4 (x1/x2)."
R3-wrap-micro,features/p2p_core/presentation/tablet/pages/p2p_kyc_tablet_pages.dart,208,"Wrap spacing x4 — Wrap là cụm pill/badge, role micro = 4 (x1/x2)."
R3-wrap-micro,features/p2p_core/presentation/tablet/pages/p2p_my_ads_tablet_page.dart,104,"Wrap spacing x3 — Wrap là cụm pill/badge, role micro = 4 (x1/x2)."
R3-wrap-micro,features/p2p_core/presentation/tablet/pages/p2p_my_orders_tablet_page.dart,79,"Wrap spacing x3 — Wrap là cụm pill/badge, role micro = 4 (x1/x2)."
R3-wrap-micro,features/p2p_core/presentation/tablet/pages/p2p_order_book_tablet_page.dart,72,"Wrap spacing x3 — Wrap là cụm pill/badge, role micro = 4 (x1/x2)."
R3-wrap-micro,features/p2p_core/presentation/tablet/pages/p2p_order_tablet_pages.dart,237,"Wrap spacing x3 — Wrap là cụm pill/badge, role micro = 4 (x1/x2)."
R3-wrap-micro,features/p2p_core/presentation/tablet/pages/p2p_order_tablet_pages_sections.dart,74,"Wrap spacing x3 — Wrap là cụm pill/badge, role micro = 4 (x1/x2)."
R3-wrap-micro,features/p2p_core/presentation/tablet/pages/p2p_order_tablet_pages_sections.dart,242,"Wrap spacing x3 — Wrap là cụm pill/badge, role micro = 4 (x1/x2)."
R3-wrap-micro,features/p2p_core/presentation/tablet/pages/p2p_payment_method_tablet_pages.dart,240,"Wrap spacing x3 — Wrap là cụm pill/badge, role micro = 4 (x1/x2)."
R3-wrap-micro,features/p2p_core/presentation/tablet/pages/p2p_payment_method_tablet_pages.dart,257,"Wrap spacing x3 — Wrap là cụm pill/badge, role micro = 4 (x1/x2)."
R3-wrap-micro,features/p2p_core/presentation/tablet/pages/p2p_security_tablet_pages_extra.dart,495,"Wrap spacing x3 — Wrap là cụm pill/badge, role micro = 4 (x1/x2)."
R3-wrap-micro,features/p2p_core/presentation/tablet/pages/p2p_settings_tablet_pages_extra.dart,51,"Wrap spacing x3 — Wrap là cụm pill/badge, role micro = 4 (x1/x2)."
R3-wrap-micro,features/p2p_core/presentation/tablet/pages/p2p_settings_tablet_pages_extra.dart,193,"Wrap spacing x3 — Wrap là cụm pill/badge, role micro = 4 (x1/x2)."
R2-hero-padding,features/p2p_core/presentation/tablet/pages/p2p_tablet_utility_page.dart,59,"VitCard hero ép padding zeroInsets — role hero = 24 (cardPaddingHero*); bỏ padding hoặc dùng token hero."
R4-label-control,features/p2p_core/presentation/tablet/pages/p2p_wallet_tablet_pages_sections.dart,66,"Label→control = x2 — role form field stack = 8 (x3/rowGap)."
R2-hero-padding,features/profile/presentation/tablet/pages/profile_tablet_utility_page.dart,47,"VitCard hero ép padding zeroInsets — role hero = 24 (cardPaddingHero*); bỏ padding hoặc dùng token hero."
R3-wrap-micro,features/profile/presentation/widgets/tablet/profile_account_hero.dart,113,"Wrap spacing x3 — Wrap là cụm pill/badge, role micro = 4 (x1/x2)."
R3-wrap-micro,features/profile/presentation/widgets/tablet/profile_activity_pane.dart,132,"Wrap spacing x3 — Wrap là cụm pill/badge, role micro = 4 (x1/x2)."
R3-wrap-micro,features/profile/presentation/widgets/tablet/profile_api_create_pane.dart,195,"Wrap spacing x3 — Wrap là cụm pill/badge, role micro = 4 (x1/x2)."
R3-wrap-micro,features/profile/presentation/widgets/tablet/profile_devices_pane_sections.dart,379,"Wrap spacing x3 — Wrap là cụm pill/badge, role micro = 4 (x1/x2)."
R4-label-control,features/profile/presentation/widgets/tablet/profile_edit_pane.dart,241,"Label→control = x4 — role form field stack = 8 (x3/rowGap)."
R4-label-control,features/profile/presentation/widgets/tablet/profile_legal_accordion_panel.dart,184,"Label→control = x4 — role form field stack = 8 (x3/rowGap)."
R3-wrap-micro,features/profile/presentation/widgets/tablet/profile_product_hub_panel.dart,31,"Wrap spacing cardGap — Wrap là cụm pill/badge, role micro = 4 (x1/x2)."
R4-label-control,features/profile/presentation/widgets/tablet/profile_security_pane.dart,511,"Label→control = x4 — role form field stack = 8 (x3/rowGap)."
R3-wrap-micro,features/profile/presentation/widgets/tablet/profile_sub_accounts_pane_more_sections.dart,192,"Wrap spacing x3 — Wrap là cụm pill/badge, role micro = 4 (x1/x2)."
R4-label-control,features/profile/presentation/widgets/tablet/profile_sub_accounts_pane_sections.dart,341,"Label→control = x4 — role form field stack = 8 (x3/rowGap)."
R3-wrap-micro,features/rewards/presentation/tablet/pages/rewards_tablet_page.dart,76,"Wrap spacing x3 — Wrap là cụm pill/badge, role micro = 4 (x1/x2)."
R3-wrap-micro,features/trade/presentation/tablet/pages/advanced_chart_tablet_page.dart,83,"Wrap spacing x5 — Wrap là cụm pill/badge, role micro = 4 (x1/x2)."
R3-wrap-micro,features/trade/presentation/tablet/pages/advanced_trading_demo_tablet_page.dart,286,"Wrap spacing x3 — Wrap là cụm pill/badge, role micro = 4 (x1/x2)."
R3-wrap-micro,features/trade/presentation/tablet/pages/advanced_trading_demo_tablet_page.dart,333,"Wrap spacing x3 — Wrap là cụm pill/badge, role micro = 4 (x1/x2)."
R3-wrap-micro,features/trade/presentation/tablet/pages/advanced_trading_demo_tablet_page.dart,354,"Wrap spacing x3 — Wrap là cụm pill/badge, role micro = 4 (x1/x2)."
R3-wrap-micro,features/trade/presentation/tablet/pages/convert_tablet_page.dart,173,"Wrap spacing rowGap — Wrap là cụm pill/badge, role micro = 4 (x1/x2)."
R3-wrap-micro,features/trade/presentation/tablet/pages/leverage_tablet_page.dart,119,"Wrap spacing rowGap — Wrap là cụm pill/badge, role micro = 4 (x1/x2)."
R3-wrap-micro,features/trade/presentation/tablet/pages/margin_trading_tablet_page.dart,132,"Wrap spacing rowGap — Wrap là cụm pill/badge, role micro = 4 (x1/x2)."
R3-wrap-micro,features/trade/presentation/tablet/pages/trade_history_export_tablet_page.dart,103,"Wrap spacing rowGap — Wrap là cụm pill/badge, role micro = 4 (x1/x2)."
R3-wrap-micro,features/trade/presentation/tablet/pages/trade_history_export_tablet_page.dart,121,"Wrap spacing rowGap — Wrap là cụm pill/badge, role micro = 4 (x1/x2)."
R2-hero-padding,features/trade/presentation/tablet/pages/trade_tablet_utility_page.dart,59,"VitCard hero ép padding zeroInsets — role hero = 24 (cardPaddingHero*); bỏ padding hoặc dùng token hero."
R3-wrap-micro,features/trade_copy/presentation/tablet/pages/copy_flow_tablet_pages.dart,290,"Wrap spacing x3 — Wrap là cụm pill/badge, role micro = 4 (x1/x2)."
R3-wrap-micro,features/trade_copy/presentation/tablet/pages/copy_trading_extended_tablet_pages_extra.dart,185,"Wrap spacing x3 — Wrap là cụm pill/badge, role micro = 4 (x1/x2)."
R3-wrap-micro,features/trade_copy/presentation/tablet/pages/copy_trading_tablet_page.dart,144,"Wrap spacing x3 — Wrap là cụm pill/badge, role micro = 4 (x1/x2)."
R2-hero-padding,features/wallet/presentation/tablet/pages/asset_detail_tablet_page.dart,86,"VitCard hero ép padding zeroInsets — role hero = 24 (cardPaddingHero*); bỏ padding hoặc dùng token hero."
R3-wrap-micro,features/wallet/presentation/tablet/pages/asset_detail_tablet_page.dart,154,"Wrap spacing gridGap — Wrap là cụm pill/badge, role micro = 4 (x1/x2)."
R2-hero-padding,features/wallet/presentation/tablet/pages/buy_crypto_tablet_page.dart,223,"VitCard hero ép padding zeroInsets — role hero = 24 (cardPaddingHero*); bỏ padding hoặc dùng token hero."
R2-hero-padding,features/wallet/presentation/tablet/pages/dust_converter_tablet_page.dart,160,"VitCard hero ép padding zeroInsets — role hero = 24 (cardPaddingHero*); bỏ padding hoặc dùng token hero."
R2-hero-padding,features/wallet/presentation/tablet/pages/network_status_tablet_page.dart,186,"VitCard hero ép padding zeroInsets — role hero = 24 (cardPaddingHero*); bỏ padding hoặc dùng token hero."
R2-hero-padding,features/wallet/presentation/tablet/pages/pending_deposits_tablet_page.dart,309,"VitCard hero ép padding zeroInsets — role hero = 24 (cardPaddingHero*); bỏ padding hoặc dùng token hero."
R2-hero-padding,features/wallet/presentation/tablet/pages/portfolio_analytics_tablet_page.dart,77,"VitCard hero ép padding zeroInsets — role hero = 24 (cardPaddingHero*); bỏ padding hoặc dùng token hero."
R3-wrap-micro,features/wallet/presentation/tablet/pages/portfolio_analytics_tablet_page.dart,184,"Wrap spacing gridGap — Wrap là cụm pill/badge, role micro = 4 (x1/x2)."
R2-hero-padding,features/wallet/presentation/tablet/pages/wallet_gas_optimizer_tablet_page.dart,125,"VitCard hero ép padding zeroInsets — role hero = 24 (cardPaddingHero*); bỏ padding hoặc dùng token hero."
R2-hero-padding,features/wallet/presentation/tablet/pages/wallet_health_score_tablet_page.dart,83,"VitCard hero ép padding zeroInsets — role hero = 24 (cardPaddingHero*); bỏ padding hoặc dùng token hero."
R2-hero-padding,features/wallet/presentation/tablet/pages/wallet_multi_manager_tablet_page.dart,92,"VitCard hero ép padding zeroInsets — role hero = 24 (cardPaddingHero*); bỏ padding hoặc dùng token hero."
R2-hero-padding,features/wallet/presentation/tablet/pages/wallet_token_approval_tablet_page.dart,126,"VitCard hero ép padding zeroInsets — role hero = 24 (cardPaddingHero*); bỏ padding hoặc dùng token hero."
R2-hero-padding,features/wallet/presentation/tablet/pages/withdraw_limits_tablet_page.dart,86,"VitCard hero ép padding zeroInsets — role hero = 24 (cardPaddingHero*); bỏ padding hoặc dùng token hero."
R2-hero-padding,shared/layout/vit_tablet_utility_page.dart,76,"VitCard hero ép padding zeroInsets — role hero = 24 (cardPaddingHero*); bỏ padding hoặc dùng token hero."
