feature,route,page,page_file,screen_level,archetype,body_grade,issue_priority,layout_status,surface_status,controls_status,state_status,financial_safety_status,responsive_status,copy_boundary_status,shared_component_count,custom_body_count,fixed_size_count,local_font_count,source_file_count,primary_issue,recommended_action,test_scope,source_files
arena,AppRoutePaths.arenaSafety,VitTabletUtilityPage,flutter_app/lib/shared/layout/vit_tablet_utility_page.dart,L2_detail,detail,A,P3,pass,pass,pass,pass,not_applicable,pass,pass,19,0,0,0,1,none,No body refactor required; keep visual smoke coverage when touched.,flutter test test/features/arena --reporter=compact,flutter_app/lib/shared/layout/vit_tablet_utility_page.dart
arena,AppRoutePaths.arenaStudio,VitTabletUtilityPage,flutter_app/lib/shared/layout/vit_tablet_utility_page.dart,L2_detail,detail,A,P3,pass,pass,pass,pass,not_applicable,pass,pass,19,0,0,0,1,none,No body refactor required; keep visual smoke coverage when touched.,flutter test test/features/arena --reporter=compact,flutter_app/lib/shared/layout/vit_tablet_utility_page.dart
arena,AppRoutePaths.arenaStudioGovernance,VitTabletUtilityPage,flutter_app/lib/shared/layout/vit_tablet_utility_page.dart,L2_detail,detail,A,P3,pass,pass,pass,pass,not_applicable,pass,pass,19,0,0,0,1,none,No body refactor required; keep visual smoke coverage when touched.,flutter test test/features/arena --reporter=compact,flutter_app/lib/shared/layout/vit_tablet_utility_page.dart
arena,AppRoutePaths.arenaStudioPresets,VitTabletUtilityPage,flutter_app/lib/shared/layout/vit_tablet_utility_page.dart,L2_detail,detail,A,P3,pass,pass,pass,pass,not_applicable,pass,pass,19,0,0,0,1,none,No body refactor required; keep visual smoke coverage when touched.,flutter test test/features/arena --reporter=compact,flutter_app/lib/shared/layout/vit_tablet_utility_page.dart
arena,AppRoutePaths.arenaStudioSmartRules,VitTabletUtilityPage,flutter_app/lib/shared/layout/vit_tablet_utility_page.dart,L2_detail,detail,A,P3,pass,pass,pass,pass,not_applicable,pass,pass,19,0,0,0,1,none,No body refactor required; keep visual smoke coverage when touched.,flutter test test/features/arena --reporter=compact,flutter_app/lib/shared/layout/vit_tablet_utility_page.dart
arena,AppRoutePaths.arenaVerified,VitTabletUtilityPage,flutter_app/lib/shared/layout/vit_tablet_utility_page.dart,L2_detail,detail,A,P3,pass,pass,pass,pass,not_applicable,pass,pass,19,0,0,0,1,none,No body refactor required; keep visual smoke coverage when touched.,flutter test test/features/arena --reporter=compact,flutter_app/lib/shared/layout/vit_tablet_utility_page.dart
auth,AppRoutePaths.authForgotPassword,ForgotPasswordPage,flutter_app/lib/features/auth/presentation/phone/pages/forgot_password_page.dart,L1_authFlow,detail,A,P3,pass,pass,pass,pass,not_applicable,pass,pass,20,2,0,0,2,none,No body refactor required; keep visual smoke coverage when touched.,flutter test --reporter=compact,flutter_app/lib/features/auth/presentation/phone/pages/forgot_password_page.dart;flutter_app/lib/features/auth/presentation/phone/widgets/forgot_password_page_sections.dart
auth,AppRoutePaths.authLogin,LoginPage,flutter_app/lib/features/auth/presentation/phone/pages/login_page.dart,L0_authEntry,authOnboarding,A,P3,pass,pass,pass,pass,not_applicable,pass,pass,20,1,0,0,1,none,No body refactor required; keep visual smoke coverage when touched.,flutter test --reporter=compact,flutter_app/lib/features/auth/presentation/phone/pages/login_page.dart
auth,AppRoutePaths.authOtp,OTPPage,flutter_app/lib/features/auth/presentation/phone/pages/otp_page.dart,L1_authFlow,detail,A,P3,pass,pass,pass,pass,not_applicable,pass,pass,16,0,0,0,3,none,No body refactor required; keep visual smoke coverage when touched.,flutter test --reporter=compact,flutter_app/lib/features/auth/presentation/phone/pages/otp_page.dart;flutter_app/lib/features/auth/presentation/phone/widgets/otp_identity_intro.dart;flutter_app/lib/features/auth/presentation/phone/widgets/otp_input_status.dart
auth,AppRoutePaths.authRegister,RegisterPage,flutter_app/lib/features/auth/presentation/phone/pages/register_page.dart,L1_authFlow,detail,A,P3,pass,pass,pass,pass,not_applicable,pass,pass,21,0,0,0,2,none,No body refactor required; keep visual smoke coverage when touched.,flutter test --reporter=compact,flutter_app/lib/features/auth/presentation/phone/pages/register_page.dart;flutter_app/lib/features/auth/presentation/phone/widgets/register_page_sections.dart
auth,AppRoutePaths.authResetPassword,ResetPasswordPage,flutter_app/lib/features/auth/presentation/phone/pages/reset_password_page.dart,L1_authFlow,detail,A,P3,pass,pass,pass,pass,not_applicable,pass,pass,35,0,0,0,2,none,No body refactor required; keep visual smoke coverage when touched.,flutter test --reporter=compact,flutter_app/lib/features/auth/presentation/phone/pages/reset_password_page.dart;flutter_app/lib/features/auth/presentation/phone/widgets/reset_password_page_sections.dart
auth,AppRoutePaths.auth2faSetup,TwoFASetupPage,flutter_app/lib/features/auth/presentation/phone/pages/two_fa_setup_page.dart,L1_authFlow,detail,A,P3,pass,pass,pass,pass,not_applicable,pass,pass,21,2,0,0,5,none,No body refactor required; keep visual smoke coverage when touched.,flutter test --reporter=compact,flutter_app/lib/features/auth/presentation/phone/pages/two_fa_setup_page.dart;flutter_app/lib/features/auth/presentation/phone/widgets/two_fa_setup_backup.dart;flutter_app/lib/features/auth/presentation/phone/widgets/two_fa_setup_qr.dart;flutter_app/lib/features/auth/presentation/phone/widgets/two_fa_setup_steps.dart;flutter_app/lib/features/auth/presentation/phone/widgets/two_fa_setup_verify.dart
auth,AppRoutePaths.forceUpdateGate,VitWebUtilityPage,flutter_app/lib/shared/layout/vit_web_utility_page.dart,L1_authFlow,detail,A,P3,pass,pass,pass,pass,not_applicable,pass,pass,19,0,0,0,1,none,No body refactor required; keep visual smoke coverage when touched.,flutter test --reporter=compact,flutter_app/lib/shared/layout/vit_web_utility_page.dart
auth,AppRoutePaths.maintenanceGate,VitWebUtilityPage,flutter_app/lib/shared/layout/vit_web_utility_page.dart,L1_authFlow,detail,A,P3,pass,pass,pass,pass,not_applicable,pass,pass,19,0,0,0,1,none,No body refactor required; keep visual smoke coverage when touched.,flutter test --reporter=compact,flutter_app/lib/shared/layout/vit_web_utility_page.dart
auth,AppRoutePaths.onboarding,VitWebUtilityPage,flutter_app/lib/shared/layout/vit_web_utility_page.dart,L1_authFlow,detail,A,P3,pass,pass,pass,pass,not_applicable,pass,pass,19,0,0,0,1,none,No body refactor required; keep visual smoke coverage when touched.,flutter test --reporter=compact,flutter_app/lib/shared/layout/vit_web_utility_page.dart
dca,'/dca/rebalance/:configId/edit',VitTabletUtilityPage,flutter_app/lib/shared/layout/vit_tablet_utility_page.dart,L3_transactionFlow,detail,A,P3,pass,pass,pass,pass,pass,pass,pass,19,0,0,0,1,none,No body refactor required; keep visual smoke coverage when touched.,flutter test test/features/dca --reporter=compact,flutter_app/lib/shared/layout/vit_tablet_utility_page.dart
dca,'/dca/rebalance/:configId/history',VitTabletUtilityPage,flutter_app/lib/shared/layout/vit_tablet_utility_page.dart,L2_entityDetail,detail,A,P3,pass,pass,pass,pass,pass,pass,pass,19,0,0,0,1,none,No body refactor required; keep visual smoke coverage when touched.,flutter test test/features/dca --reporter=compact,flutter_app/lib/shared/layout/vit_tablet_utility_page.dart
dca,AppRoutePaths.dca,VitTabletUtilityPage,flutter_app/lib/shared/layout/vit_tablet_utility_page.dart,L1_productModuleHub,rootModule,A,P3,pass,pass,pass,pass,pass,pass,pass,19,0,0,0,1,none,No body refactor required; keep visual smoke coverage when touched.,flutter test test/features/dca --reporter=compact,flutter_app/lib/shared/layout/vit_tablet_utility_page.dart
dca,AppRoutePaths.dcaBacktester,VitTabletUtilityPage,flutter_app/lib/shared/layout/vit_tablet_utility_page.dart,L2_detail,detail,A,P3,pass,pass,pass,pass,pass,pass,pass,19,0,0,0,1,none,No body refactor required; keep visual smoke coverage when touched.,flutter test test/features/dca --reporter=compact,flutter_app/lib/shared/layout/vit_tablet_utility_page.dart
dca,AppRoutePaths.dcaDynamicAmount,VitTabletUtilityPage,flutter_app/lib/shared/layout/vit_tablet_utility_page.dart,L2_detail,detail,A,P3,pass,pass,pass,pass,pass,pass,pass,19,0,0,0,1,none,No body refactor required; keep visual smoke coverage when touched.,flutter test test/features/dca --reporter=compact,flutter_app/lib/shared/layout/vit_tablet_utility_page.dart
dca,AppRoutePaths.dcaMultiAsset,VitTabletUtilityPage,flutter_app/lib/shared/layout/vit_tablet_utility_page.dart,L2_detail,detail,A,P3,pass,pass,pass,pass,pass,pass,pass,19,0,0,0,1,none,No body refactor required; keep visual smoke coverage when touched.,flutter test test/features/dca --reporter=compact,flutter_app/lib/shared/layout/vit_tablet_utility_page.dart
dca,AppRoutePaths.dcaPerformanceCompare,VitTabletUtilityPage,flutter_app/lib/shared/layout/vit_tablet_utility_page.dart,L2_detail,detail,A,P3,pass,pass,pass,pass,pass,pass,pass,19,0,0,0,1,none,No body refactor required; keep visual smoke coverage when touched.,flutter test test/features/dca --reporter=compact,flutter_app/lib/shared/layout/vit_tablet_utility_page.dart
dca,AppRoutePaths.dcaPortfolioOptimizer,VitTabletUtilityPage,flutter_app/lib/shared/layout/vit_tablet_utility_page.dart,L2_utilityDetail,detail,A,P3,pass,pass,pass,pass,pass,pass,pass,19,0,0,0,1,none,No body refactor required; keep visual smoke coverage when touched.,flutter test test/features/dca --reporter=compact,flutter_app/lib/shared/layout/vit_tablet_utility_page.dart
dca,AppRoutePaths.dcaRebalanceConfig,VitTabletUtilityPage,flutter_app/lib/shared/layout/vit_tablet_utility_page.dart,L2_detail,detail,A,P3,pass,pass,pass,pass,pass,pass,pass,19,0,0,0,1,none,No body refactor required; keep visual smoke coverage when touched.,flutter test test/features/dca --reporter=compact,flutter_app/lib/shared/layout/vit_tablet_utility_page.dart
dca,AppRoutePaths.dcaRebalanceDashboard,VitTabletUtilityPage,flutter_app/lib/shared/layout/vit_tablet_utility_page.dart,L2_sectionHub,detail,A,P3,pass,pass,pass,pass,pass,pass,pass,19,0,0,0,1,none,No body refactor required; keep visual smoke coverage when touched.,flutter test test/features/dca --reporter=compact,flutter_app/lib/shared/layout/vit_tablet_utility_page.dart
dca,AppRoutePaths.dcaScheduleAnalytics,VitTabletUtilityPage,flutter_app/lib/shared/layout/vit_tablet_utility_page.dart,L2_utilityDetail,detail,A,P3,pass,pass,pass,pass,pass,pass,pass,19,0,0,0,1,none,No body refactor required; keep visual smoke coverage when touched.,flutter test test/features/dca --reporter=compact,flutter_app/lib/shared/layout/vit_tablet_utility_page.dart
dca,AppRoutePaths.dcaScheduleConfig,VitTabletUtilityPage,flutter_app/lib/shared/layout/vit_tablet_utility_page.dart,L2_detail,detail,A,P3,pass,pass,pass,pass,pass,pass,pass,19,0,0,0,1,none,No body refactor required; keep visual smoke coverage when touched.,flutter test test/features/dca --reporter=compact,flutter_app/lib/shared/layout/vit_tablet_utility_page.dart
dca,AppRoutePaths.dcaSmartRules,VitTabletUtilityPage,flutter_app/lib/shared/layout/vit_tablet_utility_page.dart,L2_detail,detail,A,P3,pass,pass,pass,pass,pass,pass,pass,19,0,0,0,1,none,No body refactor required; keep visual smoke coverage when touched.,flutter test test/features/dca --reporter=compact,flutter_app/lib/shared/layout/vit_tablet_utility_page.dart
earn_savings,AppRoutePaths.earnSavings,VitTabletUtilityPage,flutter_app/lib/shared/layout/vit_tablet_utility_page.dart,L1_productModuleHub,rootModule,A,P3,pass,pass,pass,pass,not_applicable,pass,pass,19,0,0,0,1,none,No body refactor required; keep visual smoke coverage when touched.,flutter test test/features/earn_savings --reporter=compact,flutter_app/lib/shared/layout/vit_tablet_utility_page.dart
earn_savings,AppRoutePaths.earnSavingsAnalytics,VitTabletUtilityPage,flutter_app/lib/shared/layout/vit_tablet_utility_page.dart,L2_utilityDetail,detail,A,P3,pass,pass,pass,pass,not_applicable,pass,pass,19,0,0,0,1,none,No body refactor required; keep visual smoke coverage when touched.,flutter test test/features/earn_savings --reporter=compact,flutter_app/lib/shared/layout/vit_tablet_utility_page.dart
earn_savings,AppRoutePaths.earnSavingsAutoCompound,VitTabletUtilityPage,flutter_app/lib/shared/layout/vit_tablet_utility_page.dart,L2_detail,detail,A,P3,pass,pass,pass,pass,not_applicable,pass,pass,19,0,0,0,1,none,No body refactor required; keep visual smoke coverage when touched.,flutter test test/features/earn_savings --reporter=compact,flutter_app/lib/shared/layout/vit_tablet_utility_page.dart
earn_savings,AppRoutePaths.earnSavingsAutoPilot,VitTabletUtilityPage,flutter_app/lib/shared/layout/vit_tablet_utility_page.dart,L2_detail,detail,A,P3,pass,pass,pass,pass,not_applicable,pass,pass,19,0,0,0,1,none,No body refactor required; keep visual smoke coverage when touched.,flutter test test/features/earn_savings --reporter=compact,flutter_app/lib/shared/layout/vit_tablet_utility_page.dart
earn_savings,AppRoutePaths.earnSavingsBacktest,VitTabletUtilityPage,flutter_app/lib/shared/layout/vit_tablet_utility_page.dart,L2_detail,detail,A,P3,pass,pass,pass,pass,not_applicable,pass,pass,19,0,0,0,1,none,No body refactor required; keep visual smoke coverage when touched.,flutter test test/features/earn_savings --reporter=compact,flutter_app/lib/shared/layout/vit_tablet_utility_page.dart
earn_savings,AppRoutePaths.earnSavingsComparison,VitTabletUtilityPage,flutter_app/lib/shared/layout/vit_tablet_utility_page.dart,L2_detail,detail,A,P3,pass,pass,pass,pass,not_applicable,pass,pass,19,0,0,0,1,none,No body refactor required; keep visual smoke coverage when touched.,flutter test test/features/earn_savings --reporter=compact,flutter_app/lib/shared/layout/vit_tablet_utility_page.dart
earn_savings,AppRoutePaths.earnSavingsDca,VitTabletUtilityPage,flutter_app/lib/shared/layout/vit_tablet_utility_page.dart,L2_detail,detail,A,P3,pass,pass,pass,pass,not_applicable,pass,pass,19,0,0,0,1,none,No body refactor required; keep visual smoke coverage when touched.,flutter test test/features/earn_savings --reporter=compact,flutter_app/lib/shared/layout/vit_tablet_utility_page.dart
earn_savings,AppRoutePaths.earnSavingsExport,VitTabletUtilityPage,flutter_app/lib/shared/layout/vit_tablet_utility_page.dart,L2_detail,detail,A,P3,pass,pass,pass,pass,not_applicable,pass,pass,19,0,0,0,1,none,No body refactor required; keep visual smoke coverage when touched.,flutter test test/features/earn_savings --reporter=compact,flutter_app/lib/shared/layout/vit_tablet_utility_page.dart
earn_savings,AppRoutePaths.earnSavingsFAQ,VitTabletUtilityPage,flutter_app/lib/shared/layout/vit_tablet_utility_page.dart,L2_utilityDetail,detail,A,P3,pass,pass,pass,pass,not_applicable,pass,pass,19,0,0,0,1,none,No body refactor required; keep visual smoke coverage when touched.,flutter test test/features/earn_savings --reporter=compact,flutter_app/lib/shared/layout/vit_tablet_utility_page.dart
earn_savings,AppRoutePaths.earnSavingsGoals,VitTabletUtilityPage,flutter_app/lib/shared/layout/vit_tablet_utility_page.dart,L2_detail,detail,A,P3,pass,pass,pass,pass,not_applicable,pass,pass,19,0,0,0,1,none,No body refactor required; keep visual smoke coverage when touched.,flutter test test/features/earn_savings --reporter=compact,flutter_app/lib/shared/layout/vit_tablet_utility_page.dart
earn_savings,AppRoutePaths.earnSavingsGuide,VitTabletUtilityPage,flutter_app/lib/shared/layout/vit_tablet_utility_page.dart,L2_utilityDetail,detail,A,P3,pass,pass,pass,pass,not_applicable,pass,pass,19,0,0,0,1,none,No body refactor required; keep visual smoke coverage when touched.,flutter test test/features/earn_savings --reporter=compact,flutter_app/lib/shared/layout/vit_tablet_utility_page.dart
earn_savings,AppRoutePaths.earnSavingsHistory,VitTabletUtilityPage,flutter_app/lib/shared/layout/vit_tablet_utility_page.dart,L2_utilityDetail,detail,A,P3,pass,pass,pass,pass,not_applicable,pass,pass,19,0,0,0,1,none,No body refactor required; keep visual smoke coverage when touched.,flutter test test/features/earn_savings --reporter=compact,flutter_app/lib/shared/layout/vit_tablet_utility_page.dart
earn_savings,AppRoutePaths.earnSavingsLadder,VitTabletUtilityPage,flutter_app/lib/shared/layout/vit_tablet_utility_page.dart,L3_transactionFlow,detail,A,P3,pass,pass,pass,pass,not_applicable,pass,pass,19,0,0,0,1,none,No body refactor required; keep visual smoke coverage when touched.,flutter test test/features/earn_savings --reporter=compact,flutter_app/lib/shared/layout/vit_tablet_utility_page.dart
earn_savings,AppRoutePaths.earnSavingsNotificationPreferences,VitTabletUtilityPage,flutter_app/lib/shared/layout/vit_tablet_utility_page.dart,L2_detail,detail,A,P3,pass,pass,pass,pass,not_applicable,pass,pass,19,0,0,0,1,none,No body refactor required; keep visual smoke coverage when touched.,flutter test test/features/earn_savings --reporter=compact,flutter_app/lib/shared/layout/vit_tablet_utility_page.dart
earn_savings,AppRoutePaths.earnSavingsNotifications,VitTabletUtilityPage,flutter_app/lib/shared/layout/vit_tablet_utility_page.dart,L1_utilityHub,detail,A,P3,pass,pass,pass,pass,not_applicable,pass,pass,19,0,0,0,1,none,No body refactor required; keep visual smoke coverage when touched.,flutter test test/features/earn_savings --reporter=compact,flutter_app/lib/shared/layout/vit_tablet_utility_page.dart
earn_savings,AppRoutePaths.earnSavingsPortfolio,VitTabletUtilityPage,flutter_app/lib/shared/layout/vit_tablet_utility_page.dart,L2_utilityDetail,detail,A,P3,pass,pass,pass,pass,not_applicable,pass,pass,19,0,0,0,1,none,No body refactor required; keep visual smoke coverage when touched.,flutter test test/features/earn_savings --reporter=compact,flutter_app/lib/shared/layout/vit_tablet_utility_page.dart
earn_savings,AppRoutePaths.earnSavingsProductSample,VitTabletUtilityPage,flutter_app/lib/shared/layout/vit_tablet_utility_page.dart,L2_detail,detail,A,P3,pass,pass,pass,pass,not_applicable,pass,pass,19,0,0,0,1,none,No body refactor required; keep visual smoke coverage when touched.,flutter test test/features/earn_savings --reporter=compact,flutter_app/lib/shared/layout/vit_tablet_utility_page.dart
earn_savings,AppRoutePaths.earnSavingsRebalance,VitTabletUtilityPage,flutter_app/lib/shared/layout/vit_tablet_utility_page.dart,L2_detail,detail,A,P3,pass,pass,pass,pass,not_applicable,pass,pass,19,0,0,0,1,none,No body refactor required; keep visual smoke coverage when touched.,flutter test test/features/earn_savings --reporter=compact,flutter_app/lib/shared/layout/vit_tablet_utility_page.dart
earn_savings,AppRoutePaths.earnSavingsReceipt,VitTabletUtilityPage,flutter_app/lib/shared/layout/vit_tablet_utility_page.dart,L3_transactionFlow,detail,A,P3,pass,pass,pass,pass,not_applicable,pass,pass,19,0,0,0,1,none,No body refactor required; keep visual smoke coverage when touched.,flutter test test/features/earn_savings --reporter=compact,flutter_app/lib/shared/layout/vit_tablet_utility_page.dart
earn_savings,AppRoutePaths.earnSavingsRecommendations,VitTabletUtilityPage,flutter_app/lib/shared/layout/vit_tablet_utility_page.dart,L2_detail,detail,A,P3,pass,pass,pass,pass,not_applicable,pass,pass,19,0,0,0,1,none,No body refactor required; keep visual smoke coverage when touched.,flutter test test/features/earn_savings --reporter=compact,flutter_app/lib/shared/layout/vit_tablet_utility_page.dart
